Date,Open,High,Low,Close,Adj Close,Volume
2021-10-15,19.290001,19.934999,19.150000,19.670000,19.670000,1264600
2021-10-18,19.059999,19.100000,18.389999,18.790001,18.790001,1695300
2021-10-19,18.200001,18.240000,16.500000,16.610001,16.610001,4070200
2021-10-20,16.660000,16.950001,16.430000,16.709999,16.709999,2398200
2021-10-21,16.070000,16.549999,15.710000,15.880000,15.880000,2431200
2021-10-22,15.250000,15.775000,14.240000,15.710000,15.710000,5932300
2021-10-25,16.110001,16.139999,15.614000,16.010000,16.010000,1802700
2021-10-26,15.620000,15.690000,14.540000,14.580000,14.580000,2967500
2021-10-27,14.630000,15.010000,14.120000,14.310000,14.310000,2253700
2021-10-28,14.060000,14.360000,13.900000,13.910000,13.910000,2842100
2021-10-29,14.000000,14.020000,13.210000,13.230000,13.230000,4478500
2021-11-01,13.810000,14.530000,13.610000,14.450000,14.450000,2675000
2021-11-02,14.410000,14.420000,13.860000,14.100000,14.100000,1464400
2021-11-03,14.330000,15.100000,14.130000,14.900000,14.900000,1930200
2021-11-04,14.670000,14.810000,13.870000,14.050000,14.050000,1468400
2021-11-05,14.890000,15.782000,14.880000,15.480000,15.480000,3574000
2021-11-08,15.170000,15.390000,15.110000,15.300000,15.300000,1994200
2021-11-09,15.490000,15.650000,15.170000,15.290000,15.290000,1490400
2021-11-10,15.230000,15.400000,14.445000,14.520000,14.520000,1976000
2021-11-11,15.620000,16.600000,15.460000,16.180000,16.180000,3689100
2021-11-12,16.080000,16.309999,15.745000,15.930000,15.930000,2326900
2021-11-15,16.049999,16.469000,16.020000,16.110001,16.110001,1169600
2021-11-16,15.550000,15.634000,15.030000,15.260000,15.260000,1376000
2021-11-17,15.560000,15.807000,14.780000,15.140000,15.140000,1427500
2021-11-18,15.410000,15.410000,14.590000,14.880000,14.880000,961500
2021-11-19,14.990000,15.195000,14.730000,14.920000,14.920000,1613400
2021-11-22,15.370000,15.440000,14.470000,14.610000,14.610000,1404000
2021-11-23,14.420000,14.760000,13.910000,14.440000,14.440000,1368100
2021-11-24,14.270000,14.790000,14.120000,14.250000,14.250000,2409100
2021-11-26,13.480000,13.540000,12.600000,13.170000,13.170000,3697800
2021-11-29,12.800000,12.970000,12.420000,12.700000,12.700000,2188100
2021-11-30,12.280000,12.580000,11.760000,12.580000,12.580000,2452600
2021-12-01,12.750000,12.860000,11.510000,11.530000,11.530000,2367700
2021-12-02,11.540000,11.979000,11.460000,11.940000,11.940000,2332100
2021-12-03,12.580000,12.644000,11.735000,11.910000,11.910000,3195600
2021-12-06,12.160000,13.260000,11.950000,13.100000,13.100000,3503600
2021-12-07,13.610000,13.625000,13.090000,13.240000,13.240000,2418400
2021-12-08,13.720000,14.490000,13.650000,14.160000,14.160000,4146700
2021-12-09,13.870000,14.030000,13.630000,13.980000,13.980000,1933200
2021-12-10,14.000000,14.100000,13.730000,13.840000,13.840000,2306600
2021-12-13,13.770000,13.780000,13.160000,13.250000,13.250000,1571700
2021-12-14,13.090000,13.570000,13.050000,13.250000,13.250000,2062600
2021-12-15,13.150000,13.470000,12.600000,13.450000,13.450000,2345200
2021-12-16,13.540000,13.635000,13.110000,13.200000,13.200000,1336800
2021-12-17,12.870000,13.640000,12.690000,13.430000,13.430000,1498500
2021-12-20,12.910000,13.120000,12.655000,12.870000,12.870000,2047700
2021-12-21,12.850000,13.890000,12.820000,13.840000,13.840000,2465900
2021-12-22,13.790000,14.360000,13.655000,14.220000,14.220000,1346300
2021-12-23,14.050000,14.240000,13.890000,14.070000,14.070000,1214000
2021-12-27,13.800000,14.020000,13.670000,13.720000,13.720000,1506600
2021-12-28,13.680000,13.870000,13.590000,13.720000,13.720000,1035700
2021-12-29,13.460000,13.500000,12.610000,12.610000,12.610000,2097800
2021-12-30,12.850000,13.260000,12.850000,13.180000,13.180000,1694500
2021-12-31,13.140000,13.565000,13.140000,13.200000,13.200000,777100
2022-01-03,12.850000,13.455000,12.670000,12.990000,12.990000,2171200
2022-01-04,12.900000,13.120000,12.755000,12.900000,12.900000,1744700
2022-01-05,12.600000,12.950000,11.780000,11.800000,11.800000,2500000
2022-01-06,11.710000,12.200000,11.310000,12.180000,12.180000,2946100
2022-01-07,12.305000,12.880000,12.300000,12.800000,12.800000,2012000
2022-01-10,12.560000,12.660000,12.180000,12.530000,12.530000,2034700
2022-01-11,12.550000,13.245000,12.510000,13.240000,13.240000,1874400
2022-01-12,13.560000,13.940000,13.390000,13.940000,13.940000,2452700
2022-01-13,13.830000,14.520000,13.720000,14.150000,14.150000,2870600
2022-01-14,13.920000,14.330000,13.810000,14.320000,14.320000,1462800
2022-01-18,13.830000,14.200000,13.729000,13.800000,13.800000,1812900
2022-01-19,14.250000,14.410000,13.890000,13.960000,13.960000,1434300
2022-01-20,14.470000,15.315000,14.330000,14.940000,14.940000,2736300
2022-01-21,15.020000,15.465000,14.800000,15.090000,15.090000,4235600
2022-01-24,14.560000,14.770000,14.090000,14.510000,14.510000,3126600
2022-01-25,14.580000,14.960000,14.320000,14.860000,14.860000,1922300
2022-01-26,15.170000,15.740000,14.950000,15.160000,15.160000,2679300
2022-01-27,15.590000,15.950000,15.195000,15.290000,15.290000,2308800
2022-01-28,15.200000,15.230000,14.605000,15.150000,15.150000,1858000
2022-01-31,15.500000,16.580000,15.430000,16.559999,16.559999,2282200
2022-02-01,16.469999,16.860001,16.350000,16.420000,16.420000,1867000
2022-02-02,16.410000,16.410000,15.600000,15.790000,15.790000,2369900
2022-02-03,15.580000,15.900000,15.415000,15.420000,15.420000,1746900
2022-02-04,14.970000,15.060000,14.625000,14.900000,14.900000,2376300
2022-02-07,14.780000,15.185000,14.780000,15.020000,15.020000,1731500
2022-02-08,15.210000,15.490000,14.900000,15.120000,15.120000,1481300
2022-02-09,15.380000,16.180000,15.065000,16.139999,16.139999,2180200
2022-02-10,16.040001,16.980000,15.930000,16.379999,16.379999,1961500
2022-02-11,16.410000,16.770000,15.345000,15.470000,15.470000,2509300
2022-02-14,15.730000,16.110001,15.435000,15.530000,15.530000,1885100
2022-02-15,16.309999,17.080000,16.250000,17.030001,17.030001,2704000
2022-02-16,17.170000,17.459999,16.910000,17.180000,17.180000,1768600
2022-02-17,16.760000,16.959999,16.610001,16.700001,16.700001,1707100
2022-02-18,16.850000,17.110001,16.590000,16.830000,16.830000,1960400
2022-02-22,16.629999,16.900000,16.330000,16.580000,16.580000,1344300
2022-02-23,17.190001,17.389999,16.530001,16.590000,16.590000,1922400
2022-02-24,14.930000,15.480000,14.580000,15.290000,15.290000,4609300
2022-02-25,15.110000,15.590000,14.630000,14.920000,14.920000,1869400
2022-02-28,14.610000,14.740000,14.000000,14.610000,14.610000,2374000
2022-03-01,14.510000,14.760000,13.948000,14.070000,14.070000,2413200
2022-03-02,14.240000,14.810000,13.960000,14.640000,14.640000,1891500
2022-03-03,15.000000,15.220000,14.125000,14.150000,14.150000,3366200
2022-03-04,13.740000,13.960000,12.880000,12.980000,12.980000,2948300
2022-03-07,12.560000,12.700000,10.405000,10.510000,10.510000,6892700
2022-03-08,11.180000,11.820000,10.740000,11.240000,11.240000,4099300
2022-03-09,12.280000,12.680000,12.065000,12.410000,12.410000,4029300
2022-03-10,11.650000,12.180000,11.460000,11.930000,11.930000,2426300
2022-03-11,12.070000,12.170000,11.060000,11.150000,11.150000,2971400
2022-03-14,11.310000,11.640000,10.890000,10.950000,10.950000,2503700
2022-03-15,11.170000,11.950000,11.160000,11.700000,11.700000,3038400
2022-03-16,11.970000,12.620000,11.940000,12.590000,12.590000,3123200
2022-03-17,12.110000,12.755000,11.915000,12.720000,12.720000,2109100
2022-03-18,12.480000,13.425000,12.430000,13.250000,13.250000,1904500
2022-03-21,13.380000,13.380000,12.970000,13.150000,13.150000,1940500
2022-03-22,13.620000,14.160000,13.605000,13.870000,13.870000,2093600
2022-03-23,13.740000,14.320000,13.670000,14.230000,14.230000,1485900
2022-03-24,14.460000,14.530000,14.110000,14.310000,14.310000,2733400
2022-03-25,15.020000,15.590000,14.890000,15.510000,15.510000,2217100
2022-03-28,15.640000,15.775000,15.160000,15.430000,15.430000,1626700
2022-03-29,16.170000,16.469999,15.930000,16.000000,16.000000,2119800
2022-03-30,15.780000,15.935000,15.170000,15.240000,15.240000,1526400
2022-03-31,15.410000,15.530000,14.995000,15.050000,15.050000,1999600
2022-04-01,15.550000,15.960000,15.490000,15.850000,15.850000,1425400
2022-04-04,15.910000,16.290001,15.710000,16.150000,16.150000,1031800
2022-04-05,16.020000,16.100000,15.230000,15.260000,15.260000,1293300
2022-04-06,14.710000,15.130000,14.295000,15.000000,15.000000,2256100
2022-04-07,14.920000,15.560000,14.840000,15.520000,15.520000,2140600
2022-04-08,15.400000,15.550000,15.070000,15.090000,15.090000,1340400
2022-04-11,14.980000,15.600000,14.920000,15.400000,15.400000,1720900
2022-04-12,15.890000,16.100000,15.042000,15.220000,15.220000,1464300
2022-04-13,15.220000,15.770000,15.170000,15.530000,15.530000,1564700
2022-04-14,15.410000,15.530000,14.680000,14.700000,14.700000,1304800
2022-04-18,14.620000,14.780000,14.150000,14.670000,14.670000,1230900
2022-04-19,14.550000,15.160000,14.550000,15.140000,15.140000,1310100
2022-04-20,15.330000,15.895000,14.960000,15.670000,15.670000,1605200
2022-04-21,16.049999,16.889999,15.800000,16.100000,16.100000,2720100
2022-04-22,15.430000,15.800000,14.520000,14.600000,14.600000,2990500
2022-04-25,14.290000,14.590000,13.720000,14.520000,14.520000,2686900
2022-04-26,14.280000,14.330000,13.510000,13.600000,13.600000,2101400
2022-04-27,13.710000,13.970000,13.090000,13.150000,13.150000,3945400
2022-04-28,13.410000,13.650000,12.830000,13.550000,13.550000,1586000
2022-04-29,13.870000,14.275000,13.350000,13.380000,13.380000,1490800
2022-05-02,12.990000,13.090000,11.820000,12.180000,12.180000,2361400
2022-05-03,12.530000,12.940000,12.460000,12.890000,12.890000,1961000
2022-05-04,12.440000,13.050000,11.795000,13.030000,13.030000,4146800
2022-05-05,12.370000,12.430000,11.791000,11.900000,11.900000,2228900
2022-05-06,11.620000,11.960000,11.250000,11.650000,11.650000,2398900
2022-05-09,11.450000,11.450000,10.730000,10.830000,10.830000,1877700
2022-05-10,11.120000,11.160000,10.600000,11.100000,11.100000,2392400
2022-05-11,11.180000,11.670000,10.735000,10.840000,10.840000,3160300
2022-05-12,10.790000,11.240000,10.561000,10.890000,10.890000,2799000
2022-05-13,11.140000,12.350000,11.140000,12.310000,12.310000,2550900
2022-05-16,12.120000,12.730000,12.120000,12.680000,12.680000,2863100
2022-05-17,13.130000,13.600000,13.020000,13.520000,13.520000,2135500
2022-05-18,13.160000,13.490000,12.710000,12.880000,12.880000,1741500
2022-05-19,13.010000,13.300000,12.640000,13.030000,13.030000,1703300
2022-05-20,13.240000,13.460000,12.750000,13.070000,13.070000,1462400
2022-05-23,13.340000,13.810000,13.035000,13.780000,13.780000,1713600
2022-05-24,13.570000,13.585000,12.690000,12.940000,12.940000,1556800
2022-05-25,12.520000,12.730000,12.280000,12.530000,12.530000,1740000
2022-05-26,12.590000,13.370000,12.480000,13.220000,13.220000,1376800
2022-05-27,13.170000,13.500000,13.080000,13.310000,13.310000,1093200
2022-05-31,13.170000,13.300000,12.700000,12.730000,12.730000,1222400
2022-06-01,12.830000,12.840000,11.730000,11.790000,11.790000,3402400
2022-06-02,11.890000,12.080000,11.660000,11.940000,11.940000,1876000
2022-06-03,11.710000,11.740000,11.480000,11.520000,11.520000,1266300
2022-06-06,11.630000,11.750000,11.240000,11.430000,11.430000,1527300
2022-06-07,11.000000,11.065000,10.740000,10.840000,10.840000,3065600
2022-06-08,10.730000,11.010000,10.640000,10.640000,10.640000,1800900
2022-06-09,10.560000,10.625000,9.960000,9.970000,9.970000,3276000
2022-06-10,9.680000,9.890000,9.095000,9.200000,9.200000,4807600
2022-06-13,8.600000,8.820000,7.920000,7.960000,7.960000,6657200
2022-06-14,8.070000,8.160000,7.660000,7.930000,7.930000,5800500
2022-06-15,8.140000,8.616000,8.040000,8.400000,8.400000,4731400
2022-06-16,8.000000,8.030000,7.321000,7.470000,7.470000,3944200
2022-06-17,7.770000,8.330000,7.670000,8.160000,8.160000,4485700
2022-06-21,8.080000,8.130000,7.760000,7.800000,7.800000,2958200
2022-06-22,7.780000,8.010000,7.635000,7.770000,7.770000,3904800
2022-06-23,7.800000,7.875000,7.600000,7.640000,7.640000,2875300
2022-06-24,7.650000,8.170000,7.590000,7.990000,7.990000,2804000
2022-06-27,7.980000,8.000000,7.510000,7.540000,7.540000,3226000
2022-06-28,7.650000,7.890000,7.310000,7.330000,7.330000,4642800
2022-06-29,7.390000,7.420000,7.010000,7.260000,7.260000,2390100
2022-06-30,7.000000,7.339000,6.800000,7.100000,7.100000,2391400
2022-07-01,6.830000,7.150000,6.790000,6.980000,6.980000,4879300
2022-07-05,6.630000,6.850000,6.380000,6.840000,6.840000,5878500
2022-07-06,6.860000,6.860000,6.330000,6.380000,6.380000,3508200
2022-07-07,6.580000,6.799000,6.500000,6.560000,6.560000,2883500
2022-07-08,6.750000,7.165000,6.680000,7.040000,7.040000,2913800
2022-07-11,6.720000,6.720000,6.335000,6.390000,6.390000,2715900
2022-07-12,6.350000,6.860000,6.350000,6.800000,6.800000,2812100
2022-07-13,6.650000,6.980000,6.570000,6.810000,6.810000,2720600
2022-07-14,6.630000,6.960000,6.545000,6.730000,6.730000,1734000
2022-07-15,6.690000,6.795000,6.440000,6.750000,6.750000,2274700
2022-07-18,6.900000,7.170000,6.585000,6.600000,6.600000,2525300
2022-07-19,6.750000,6.970000,6.720000,6.890000,6.890000,2151700
2022-07-20,6.960000,7.095000,6.740000,6.770000,6.770000,2119200
2022-07-21,6.660000,6.730000,6.475000,6.580000,6.580000,2399800
2022-07-22,6.660000,6.720000,6.200000,6.220000,6.220000,3231900
2022-07-25,6.370000,6.400000,6.165000,6.360000,6.360000,2103000
2022-07-26,6.280000,6.330000,6.125000,6.130000,6.130000,2434400
2022-07-27,6.300000,6.610000,6.280000,6.600000,6.600000,2816200
2022-07-28,6.610000,6.845000,6.395000,6.810000,6.810000,1853800
2022-07-29,6.750000,6.830000,6.630000,6.790000,6.790000,1409500
2022-08-01,6.690000,6.985000,6.555000,6.830000,6.830000,1527500
2022-08-02,6.730000,6.770000,6.500000,6.520000,6.520000,1449000
2022-08-03,6.550000,6.910000,6.531000,6.890000,6.890000,1432000
2022-08-04,7.200000,7.730000,7.180000,7.680000,7.680000,2702500
2022-08-05,7.420000,7.820000,7.360000,7.710000,7.710000,1516700
2022-08-08,8.000000,8.320000,7.965000,8.310000,8.310000,1660700
2022-08-09,8.280000,8.320000,7.850000,8.030000,8.030000,1817600
2022-08-10,8.420000,8.771000,8.290000,8.510000,8.510000,2048400
2022-08-11,8.690000,8.850000,8.510000,8.720000,8.720000,2883400
2022-08-12,9.020000,9.880000,8.990000,9.730000,9.730000,3407700
2022-08-15,9.640000,10.370000,9.599000,10.290000,10.290000,2246200
2022-08-16,10.100000,10.245000,9.835000,10.060000,10.060000,2013100
2022-08-17,9.940000,10.410000,9.790000,10.280000,10.280000,1745900
2022-08-18,10.360000,10.380000,9.680000,9.910000,9.910000,1515100
2022-08-19,9.650000,9.670000,9.135000,9.250000,9.250000,1651900
2022-08-22,8.980000,9.110000,8.730000,9.070000,9.070000,1529500
2022-08-23,9.250000,10.020000,9.250000,9.900000,9.900000,1919200
2022-08-24,9.880000,10.499000,9.840000,10.150000,10.150000,1607300
2022-08-25,10.200000,10.850000,10.175000,10.650000,10.650000,2421400
2022-08-26,10.780000,10.825000,10.060000,10.230000,10.230000,2950700
2022-08-29,10.280000,10.520000,10.180000,10.280000,10.280000,1424300
2022-08-30,10.570000,10.640000,9.550000,9.630000,9.630000,2260000
2022-08-31,9.430000,9.805000,9.305000,9.350000,9.350000,1613900
2022-09-01,9.510000,9.510000,8.880000,9.470000,9.470000,2670700
2022-09-02,9.640000,9.670000,9.130000,9.320000,9.320000,1347100
2022-09-06,9.170000,9.280000,8.570000,8.760000,8.760000,1702300
2022-09-07,8.700000,9.480000,8.680000,9.430000,9.430000,1172200
2022-09-08,9.150000,9.480000,8.860000,9.370000,9.370000,1459200
2022-09-09,9.450000,10.215000,9.450000,10.200000,10.200000,1450100
2022-09-12,10.400000,10.620000,10.190000,10.260000,10.260000,1649100
2022-09-13,9.730000,10.130000,9.621000,9.750000,9.750000,1574800
2022-09-14,9.650000,9.740000,9.430000,9.700000,9.700000,1799800
2022-09-15,9.590000,9.980000,9.525000,9.760000,9.760000,984100
2022-09-16,9.340000,9.670000,9.170000,9.650000,9.650000,1370600
2022-09-19,9.420000,10.340000,9.420000,10.280000,10.280000,1493200
2022-09-20,10.080000,10.595000,10.041000,10.370000,10.370000,1766800
2022-09-21,10.280000,10.480000,9.880000,10.110000,10.110000,1949100
2022-09-22,10.200000,10.237000,9.825000,10.160000,10.160000,1462200
2022-09-23,9.680000,9.730000,9.120000,9.210000,9.210000,1877000
2022-09-26,8.990000,9.210000,8.580000,8.630000,8.630000,1380300
2022-09-27,8.810000,9.020000,8.640000,8.670000,8.670000,1579700
2022-09-28,8.690000,8.960000,8.600000,8.900000,8.900000,1663700
2022-09-29,8.580000,8.580000,7.890000,8.010000,8.010000,2741700
2022-09-30,7.880000,8.330000,7.870000,8.140000,8.140000,2738900
2022-10-03,8.760000,9.590000,8.430000,9.470000,9.470000,4826300
2022-10-04,9.900000,10.085000,9.610000,9.740000,9.740000,2702000
2022-10-05,9.520000,9.925000,9.360000,9.880000,9.880000,1739500
2022-10-06,9.870000,10.170000,9.810000,10.040000,10.040000,1587500
2022-10-07,9.880000,10.100000,9.825000,9.940000,9.940000,1694000
2022-10-10,10.130000,10.260000,9.760000,10.080000,10.080000,1200500
2022-10-11,10.120000,10.210000,9.485000,9.590000,9.590000,1644500
2022-10-12,9.620000,9.630000,9.205000,9.440000,9.440000,985200
2022-10-13,9.050000,9.435000,8.915000,9.230000,9.230000,1790900
2022-10-14,9.340000,9.415000,8.740000,8.760000,8.760000,1283400
